Altitude_ft,Mach,Power,Efficiency
0.000000000000000000e+00,0.000000000000000000e+00,2.999999999999999889e-01,1.102387243280142370e-01
0.000000000000000000e+00,0.000000000000000000e+00,4.749999999999999778e-01,1.745446468526892503e-01
0.000000000000000000e+00,0.000000000000000000e+00,6.500000000000000222e-01,2.388505693773641803e-01
0.000000000000000000e+00,0.000000000000000000e+00,8.249999999999999556e-01,3.031564919020391380e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.674624144267141790e-01
0.000000000000000000e+00,1.999999999999999833e-01,2.999999999999999889e-01,1.435663009256775424e-01
0.000000000000000000e+00,1.999999999999999833e-01,4.749999999999999778e-01,2.273133097989894769e-01
0.000000000000000000e+00,1.999999999999999833e-01,6.500000000000000222e-01,3.110603186723013280e-01
0.000000000000000000e+00,1.999999999999999833e-01,8.249999999999999556e-01,3.583921212986135862e-01
0.000000000000000000e+00,1.999999999999999833e-01,1.000000000000000000e+00,3.529639073463390897e-01
0.000000000000000000e+00,3.999999999999999667e-01,2.999999999999999889e-01,2.915890648496460291e-01
0.000000000000000000e+00,3.999999999999999667e-01,4.749999999999999778e-01,3.272957267136488713e-01
0.000000000000000000e+00,3.999999999999999667e-01,6.500000000000000222e-01,3.485038867417982189e-01
0.000000000000000000e+00,3.999999999999999667e-01,8.249999999999999556e-01,3.581707930020043840e-01
0.000000000000000000e+00,3.999999999999999667e-01,1.000000000000000000e+00,3.628801004396197127e-01
0.000000000000000000e+00,5.999999999999999778e-01,2.999999999999999889e-01,3.155778765766621419e-01
0.000000000000000000e+00,5.999999999999999778e-01,4.749999999999999778e-01,3.470155497409539991e-01
0.000000000000000000e+00,5.999999999999999778e-01,6.500000000000000222e-01,3.651097449101410319e-01
0.000000000000000000e+00,5.999999999999999778e-01,8.249999999999999556e-01,3.752437264749767798e-01
0.000000000000000000e+00,5.999999999999999778e-01,1.000000000000000000e+00,3.792177825998880869e-01
1.000000000000000000e+04,0.000000000000000000e+00,2.999999999999999889e-01,1.102387243280142093e-01
1.000000000000000000e+04,0.000000000000000000e+00,4.749999999999999778e-01,1.745446468526891670e-01
1.000000000000000000e+04,0.000000000000000000e+00,6.499999999999999112e-01,2.388505693773641525e-01
1.000000000000000000e+04,0.000000000000000000e+00,8.249999999999999556e-01,3.031564919020391380e-01
1.000000000000000000e+04,0.000000000000000000e+00,1.000000000000000000e+00,3.674624144267141235e-01
1.000000000000000000e+04,1.999999999999999833e-01,2.999999999999999889e-01,2.842658899921726712e-01
1.000000000000000000e+04,1.999999999999999833e-01,4.749999999999999778e-01,3.228584964011442238e-01
1.000000000000000000e+04,1.999999999999999833e-01,6.499999999999999112e-01,3.444296905707434076e-01
1.000000000000000000e+04,1.999999999999999833e-01,8.249999999999999556e-01,3.549770324184997605e-01
1.000000000000000000e+04,1.999999999999999833e-01,1.000000000000000000e+00,3.591183696400577219e-01
1.000000000000000000e+04,3.999999999999999667e-01,2.999999999999999889e-01,2.965985455937101278e-01
1.000000000000000000e+04,3.999999999999999667e-01,4.749999999999999778e-01,3.328216350630222031e-01
1.000000000000000000e+04,3.999999999999999667e-01,6.499999999999999112e-01,3.544623698136009082e-01
1.000000000000000000e+04,3.999999999999999667e-01,8.249999999999999556e-01,3.645365451329766193e-01
1.000000000000000000e+04,3.999999999999999667e-01,1.000000000000000000e+00,3.691153375039804563e-01
1.000000000000000000e+04,5.999999999999999778e-01,2.999999999999999889e-01,3.201825476968584994e-01
1.000000000000000000e+04,5.999999999999999778e-01,4.749999999999999778e-01,3.523181695948917058e-01
1.000000000000000000e+04,5.999999999999999778e-01,6.499999999999999112e-01,3.705170260866750276e-01
1.000000000000000000e+04,5.999999999999999778e-01,8.249999999999999556e-01,3.814681054524426407e-01
1.000000000000000000e+04,5.999999999999999778e-01,1.000000000000000000e+00,3.855723133521400947e-01
2.000000000000000000e+04,0.000000000000000000e+00,2.999999999999999889e-01,1.102387243280142370e-01
2.000000000000000000e+04,0.000000000000000000e+00,4.749999999999999223e-01,1.745446468526891948e-01
2.000000000000000000e+04,0.000000000000000000e+00,6.500000000000000222e-01,2.388505693773641803e-01
2.000000000000000000e+04,0.000000000000000000e+00,8.249999999999999556e-01,3.031564919020391380e-01
