Altitude_ft,Mach,ThrustFraction,Efficiency,TSFC,ThrustLapse,T3_K,P3_Pa,FAR,mdot_air3,mdot_inlet,BPR
0.000000000000000000e+00,2.000000000000000111e-01,2.999999999999999889e-01,1.259018367935151594e-01,1.257140574351252249e-05,8.054962145143297336e-01,5.842461266768143560e+02,9.681392949511517072e+05,1.526278347175760546e-02,1.875426023934878472e+01,2.136335071194910995e+02,7.378263782873100141e+00
0.000000000000000000e+00,2.000000000000000111e-01,5.500000000000000444e-01,1.375167745052205959e-01,1.150960004609972992e-05,8.054962145143297336e-01,6.502306043631596140e+02,1.411873311468530213e+06,1.894808584781023861e-02,2.535631632564242111e+01,2.695236135060574156e+02,6.817992638369433145e+00
0.000000000000000000e+00,2.000000000000000111e-01,8.000000000000000444e-01,1.385068585785224071e-01,1.142732634635180869e-05,8.054962145143297336e-01,7.028970331990248042e+02,1.853438268633318366e+06,2.198174263376331122e-02,3.156465740600982528e+01,3.128618244980966097e+02,6.290143737474440222e+00
0.000000000000000000e+00,2.000000000000000111e-01,9.000000000000000222e-01,1.378999275731533913e-01,1.147762077935208715e-05,8.054962145143297336e-01,7.215318182932597892e+02,2.030603071381218499e+06,2.307099435676815760e-02,3.398260365880171463e+01,3.279956866526996464e+02,6.098982078427884090e+00
0.000000000000000000e+00,2.000000000000000111e-01,1.000000000000000000e+00,1.368480683431708977e-01,1.156584154491470687e-05,8.054962145143297336e-01,7.389384912929016309e+02,2.208752124553715345e+06,2.413603603670729306e-02,3.636971307918691565e+01,3.421197208462743902e+02,5.918673427327932224e+00
5.000000000000000000e+03,2.000000000000000111e-01,2.999999999999999889e-01,1.282617455955680219e-01,1.212613136651246456e-05,7.406245654870854400e-01,5.738932197412169671e+02,8.522855219786979724e+05,1.533616515147127358e-02,1.655350402912228347e+01,1.877060339821896378e+02,7.340131386829072291e+00
5.000000000000000000e+03,2.000000000000000111e-01,5.500000000000000444e-01,1.382943295885994683e-01,1.124643925037888831e-05,7.406245654870854400e-01,6.419711207251035603e+02,1.262385474073012359e+06,1.900524845139931959e-02,2.271262716214204147e+01,2.374102284850189903e+02,6.688058012419197951e+00
5.000000000000000000e+03,2.000000000000000111e-01,8.000000000000000444e-01,1.383239078513590070e-01,1.124403438674812264e-05,7.406245654870854400e-01,6.957281001896384396e+02,1.668360649195583072e+06,2.207320546567143049e-02,2.843871299147750875e+01,2.757736270971163890e+02,6.132263677173676264e+00
5.000000000000000000e+03,2.000000000000000111e-01,9.000000000000000222e-01,1.372793650815464228e-01,1.132958894052410505e-05,7.406245654870854400e-01,7.145536810359557194e+02,1.832052956030072877e+06,2.319873708609787935e-02,3.067294747691575552e+01,2.891038534814749710e+02,5.932389680434247303e+00
5.000000000000000000e+03,2.000000000000000111e-01,1.000000000000000000e+00,1.359058075196878657e-01,1.144409355843567984e-05,7.406245654870854400e-01,7.320410683285175537e+02,1.994826301410553046e+06,2.431789242361641692e-02,3.284117286328115171e+01,3.015215479660810161e+02,5.752806306984957097e+00
1.000000000000000000e+04,2.000000000000000111e-01,2.999999999999999889e-01,1.299759000254074315e-01,1.175126645166334708e-05,6.769403663857663789e-01,5.640294174603335478e+02,7.489026887150012190e+05,1.542530820469173100e-02,1.457765169970663521e+01,1.640426698156000214e+02,7.276636024109917500e+00
1.000000000000000000e+04,2.000000000000000111e-01,5.500000000000000444e-01,1.389021602861308657e-01,1.099609559957164927e-05,6.769403663857663789e-01,6.330316204831302684e+02,1.121963731941229431e+06,1.907457104735148581e-02,2.022376021973152760e+01,2.079865580589418528e+02,6.564112127264037255e+00
1.000000000000000000e+04,2.000000000000000111e-01,8.000000000000000444e-01,1.377461536832020883e-01,1.108837809733762147e-05,6.769403663857663789e-01,6.881500047411041123e+02,1.495256786546058487e+06,2.218058631359926328e-02,2.550941394046317967e+01,2.416913498002251686e+02,5.968594978455267430e+00
1.000000000000000000e+04,2.000000000000000111e-01,9.000000000000000222e-01,1.363213085708341044e-01,1.120427502865170299e-05,6.769403663857663789e-01,7.071328141235155726e+02,1.644708721834243042e+06,2.335195304977599404e-02,2.754346360511724257e+01,2.533461183845659548e+02,5.765194703240338114e+00
1.000000000000000000e+04,2.000000000000000111e-01,1.000000000000000000e+00,1.344969404461299756e-01,1.135625411572154894e-05,6.769403663857663789e-01,7.253351042567690001e+02,1.796579090712189442e+06,2.449444906602517291e-02,2.957215117537698035e+01,2.641475725640506198e+02,5.569741836473898644e+00
0.000000000000000000e+00,2.999999999999999889e-01,2.999999999999999889e-01,1.619767407317081742e-01,1.465731808500578916e-05,7.351711239236656814e-01,5.931074978352484095e+02,1.021629865197083913e+06,1.549846122648646830e-02,1.965353632780842830e+01,2.335666036656440951e+02,7.740869521671398523e+00
0.000000000000000000e+00,2.999999999999999889e-01,5.500000000000000444e-01,1.807924051430741808e-01,1.313188244494190218e-05,7.351711239236656814e-01,6.571720625563820022e+02,1.466809645734408405e+06,1.906178277013385186e-02,2.624700049793025514e+01,2.851920285422019106e+02,6.991757557508749166e+00
0.000000000000000000e+00,2.999999999999999889e-01,8.000000000000000444e-01,1.851031390784708131e-01,1.282606347518875925e-05,7.351711239236656814e-01,7.074975005428833583e+02,1.901556452458647313e+06,2.197454449001962767e-02,3.234573395701140441e+01,3.255944873244388305e+02,6.403628705859330417e+00
0.000000000000000000e+00,2.999999999999999889e-01,9.000000000000000222e-01,1.852175328730729653e-01,1.281814185973489134e-05,7.351711239236656814e-01,7.253445973489148173e+02,2.074751283517003525e+06,2.302793128150515747e-02,3.470293250093242676e+01,3.397367178813736359e+02,6.200471055358240058e+00
0.000000000000000000e+00,2.999999999999999889e-01,1.000000000000000000e+00,1.846798927621193798e-01,1.285545803481283316e-05,7.351711239236656814e-01,7.419895110354094641e+02,2.248008034061837010e+06,2.405554686971267050e-02,3.701909861544289271e+01,3.529515470323950126e+02,6.012515715956892492e+00
5.000000000000000000e+03,2.999999999999999889e-01,2.999999999999999889e-01,1.655690404051785025e-01,1.409066670239710022e-05,6.785080909057134013e-01,5.828402114076259295e+02,9.003256462607282447e+05,1.556104014763314176e-02,1.736737908012949205e+01,2.042550030284639888e+02,7.650137616152194120e+00
5.000000000000000000e+03,2.999999999999999889e-01,5.500000000000000444e-01,1.827150124650476215e-01,1.276839890225974016e-05,6.785080909057134013e-01,6.485505149918383268e+02,1.309562536231670296e+06,1.912452235057745739e-02,2.347624561125318010e+01,2.503683119342206567e+02,6.843958987730948351e+00
5.000000000000000000e+03,2.999999999999999889e-01,8.000000000000000444e-01,1.856740396431621476e-01,1.256491305445137019e-05,6.785080909057134013e-01,7.001239974750616284e+02,1.710329566532902885e+06,2.206853113036702854e-02,2.912032093260902599e+01,2.862421607769885554e+02,6.229729395935271086e+00
5.000000000000000000e+03,2.999999999999999889e-01,9.000000000000000222e-01,1.851893029490537523e-01,1.259780196498120364e-05,6.785080909057134013e-01,7.181642320609404351e+02,1.870502137507600943e+06,2.315797228249782957e-02,3.130090295077625839e+01,2.987283229899495041e+02,6.019466931367825069e+00
5.000000000000000000e+03,2.999999999999999889e-01,1.000000000000000000e+00,1.841776695556291144e-01,1.266699796025182737e-05,6.785080909057134013e-01,7.349669522248988187e+02,2.029080614809328690e+06,2.424082243408945750e-02,3.340769101033568234e+01,3.103680371313932937e+02,5.833058313547349272e+00
1.000000000000000000e+04,2.999999999999999889e-01,2.999999999999999889e-01,1.687335724892576050e-01,1.357804565173798250e-05,6.221602463779855041e-01,5.727009706918712482e+02,7.904011110614550998e+05,1.561839913920276546e-02,1.528936114096224941e+01,1.776898877313270475e+02,7.547871239676487320e+00
1.000000000000000000e+04,2.999999999999999889e-01,5.500000000000000444e-01,1.842793058442986076e-01,1.243260679620615582e-05,6.221602463779855041e-01,6.394767160904283401e+02,1.163425858600408072e+06,1.918012659341636339e-02,2.089973386172075465e+01,2.185955599665406055e+02,6.692813047761737799e+00
1.000000000000000000e+04,2.999999999999999889e-01,8.000000000000000444e-01,1.856603231044985369e-01,1.234012799250841599e-05,6.221602463779855041e-01,6.922847247656665104e+02,1.531377298596545123e+06,2.217598293700638254e-02,2.609721176046394575e+01,2.501910141751762353e+02,6.051186401487512079e+00
1.000000000000000000e+04,2.999999999999999889e-01,9.000000000000000222e-01,1.846638834659515005e-01,1.240671487699114492e-05,6.221602463779855041e-01,7.105246429797641667e+02,1.677475025732104434e+06,2.331188994279751250e-02,2.807948663392660293e+01,2.611303767684107697e+02,5.839948463235276499e+00
1.000000000000000000e+04,2.999999999999999889e-01,1.000000000000000000e+00,1.830582817724280553e-01,1.251553400401826369e-05,6.221602463779855041e-01,7.279171101090299771e+02,1.824687988844938343e+06,2.442653953157797667e-02,3.003687699659444732e+01,2.712786091546837497e+02,5.642711204644191625e+00
1.500000000000000000e+04,2.999999999999999889e-01,2.999999999999999889e-01,1.712705520681486182e-01,1.312769536491247749e-05,5.623138056028169629e-01,5.614006354186378758e+02,6.865737473195738858e+05,1.565650409149631564e-02,1.332780943265414741e+01,1.533070180117375969e+02,7.460340835049467323e+00
